timestamp,open,high,low,close,volume
03-10-2018,49.26,49.47,49.07,49.14,16731067
02-10-2018,48.75,49.14,48.67,49.01,15671575
01-10-2018,49,49.14,48.665,48.87,13669841
28-09-2018,48.27,48.8,48.06,48.65,15474402
27-09-2018,48.33,48.76,48.21,48.33,15910073
26-09-2018,48.74,49.06,48.27,48.41,20080051
25-09-2018,48.57,48.88,48.43,48.47,15810798
24-09-2018,48.21,48.62,48.19,48.44,21819266
21-09-2018,47.93,48.639,47.82,48.56,59664599
20-09-2018,47.41,47.81,47.16,47.73,17007833
19-09-2018,47.42,47.62,47.12,47.28,12721944
18-09-2018,47.07,47.65,47.07,47.46,16469562
17-09-2018,47.23,47.58,47.07,47.11,14430160
14-09-2018,47.27,47.49,47.1,47.4,13936996
13-09-2018,46.84,47.4,46.8,47.24,17972112
12-09-2018,46.86,47.01,46.44,46.89,16649396
11-09-2018,46.91,47.17,46.435,47.03,17291537
10-09-2018,47.3,47.46,46.775,47.07,16597212
07-09-2018,47.01,47.49,46.88,47.05,17229656
06-09-2018,47.44,47.9,47.07,47.28,16537925
05-09-2018,47.56,47.65,46.755,47.27,20818114
04-09-2018,47.84,48.06,47.51,47.73,19122239
31-08-2018,46.91,47.83,46.8,47.77,24904239
30-08-2018,47.31,47.54,46.97,47.15,16238495
29-08-2018,47.07,47.62,46.9,47.48,20220641
28-08-2018,46.78,47.27,46.62,46.95,19147317
27-08-2018,46.5,46.855,46.3401,46.59,17209874
24-08-2018,46.2,46.44,46.07,46.32,15575183
23-08-2018,45.88,46.25,45.85,46.02,15378993
22-08-2018,45.95,46.16,45.7161,45.99,13202916
21-08-2018,46.25,46.43,45.72,45.78,18617346
20-08-2018,45.99,46.33,45.78,46.22,19288514
17-08-2018,45.1,46.075,44.92,45.87,23153907
16-08-2018,45.77,46.09,45.08,45.16,48648451
15-08-2018,43.66,44.5,43.01,43.86,27902159
14-08-2018,43.84,44.28,43.58,44,15981257
13-08-2018,44.08,44.39,43.7,43.75,18113164
10-08-2018,43.69,43.95,43.58,43.78,14322072
09-08-2018,43.89,44.11,43.7,43.78,14098872
08-08-2018,43.64,43.96,43.44,43.84,13917109
07-08-2018,43.3,43.64,43.235,43.58,18040538
06-08-2018,42.73,43.41,42.655,43.3,14345783
03-08-2018,42.71,42.875,42.46,42.83,13394334
02-08-2018,41.39,42.6,41.2,42.53,18033150
01-08-2018,41.99,42.34,41.33,41.86,21650032
31-07-2018,42.24,42.62,41.915,42.29,20900324
30-07-2018,42.46,42.61,42.08,42.17,15300362
27-07-2018,43.26,43.62,42.42,42.57,22050922
26-07-2018,43.58,43.8252,43.22,43.53,23518743
25-07-2018,42.36,43.22,42.29,43.16,20679864
24-07-2018,42.22,42.88,42.07,42.39,17493867
23-07-2018,41.92,42.12,41.44,42.06,15656523
20-07-2018,42.26,42.365,41.86,42.01,20739164
19-07-2018,42.8,43.01,42.22,42.4,24498798
18-07-2018,42.24,42.47,42.15,42.21,20363959
17-07-2018,42.21,42.51,42.14,42.34,21188404
16-07-2018,42.05,42.94,42,42.5,24467954
13-07-2018,43.52,43.78,40.94,41.78,50842315
12-07-2018,42.76,43.63,42.75,43.58,17999800
11-07-2018,42.56,42.755,42.44,42.57,17721577
10-07-2018,42.87,43.04,42.71,42.86,20224631
09-07-2018,42.75,42.78,42.36,42.67,23210029
06-07-2018,42.39,42.875,42.31,42.71,20258659
05-07-2018,42.56,42.64,41.96,42.56,18118737
03-07-2018,42.9355,43.225,42.62,42.67,13474686
02-07-2018,42.56,42.83,42.2,42.81,21810850
29-06-2018,43.05,43.5,42.97,43.03,20523320
28-06-2018,42.33,43.19,42.28,42.94,22197703
27-06-2018,42.73,43.15,42.28,42.33,20794794
26-06-2018,42.48,43.14,42.39,42.55,22171180
25-06-2018,42.69,42.82,41.805,42.29,28626684
22-06-2018,43.34,43.45,42.89,43.2,27459976
21-06-2018,43.69,43.78,43.06,43.16,20924445
20-06-2018,43.95,43.99,43.7,43.74,21276541
19-06-2018,43.62,44.02,43.44,43.82,22199204
18-06-2018,43.87,44.42,43.39,44.21,17625361
15-06-2018,44.36,44.53,43.59,44.25,49379790
14-06-2018,44.23,44.81,44.05,44.69,24020482
13-06-2018,44.02,44.53,43.84,44.01,24383241
12-06-2018,43.68,43.945,43.47,43.94,17564885
11-06-2018,43.62,43.92,43.44,43.69,15068969
08-06-2018,43.52,43.73,43.31,43.48,18812398
07-06-2018,44.24,44.39,43.35,43.65,19722037
06-06-2018,43.76,44.31,43.66,44.26,17730231
05-06-2018,43.74,43.75,43.39,43.67,16728755
04-06-2018,43.5,43.83,43.21,43.58,18087741
01-06-2018,42.91,43.69,42.88,43.66,18352715
31-05-2018,42.8574,43.13,42.61,42.71,31439566
30-05-2018,43.08,43.34,42.83,42.85,22498821
29-05-2018,42.7646,43.16,42.52,42.97,25197401
25-05-2018,43.46,43.62,43.21,43.26,15362007
24-05-2018,43.6,43.97,43.01,43.57,18377491
23-05-2018,43.4,43.7,42.89,43.68,20638782
22-05-2018,43.79,43.91,43.475,43.65,16381784
21-05-2018,43.49,43.94,43.42,43.75,21785939
18-05-2018,43.46,43.57,43.11,43.21,24455962
17-05-2018,43.13,44.16,43.02,43.46,48210381
16-05-2018,45.36,45.55,45.01,45.16,31253656
15-05-2018,45.21,45.55,44.93,45.48,24753573
14-05-2018,45.75,46.23,45.67,45.7,22037655
11-05-2018,46.09,46.27,45.78,45.93,17551533
10-05-2018,46,46.37,45.67,46.3,18469391
09-05-2018,45.904,46.1,45.19,46.04,20438258
08-05-2018,45.82,45.87,45.38,45.71,20285300
07-05-2018,45.36,46,45.3,45.73,17822387
04-05-2018,44.01,45.5,43.9,45.3,19504140
03-05-2018,44.0084,44.81,43.44,44.44,23750207
02-05-2018,44.91,45.05,43.8,43.86,23601562
01-05-2018,43.91,44.95,43.83,44.83,16865524
30-04-2018,44.92,45.18,44.28,44.29,19958464
27-04-2018,44.69,45.34,44.36,44.71,20077392
26-04-2018,43.98,44.49,43.44,44.21,20549341
25-04-2018,43.8,43.99,42.75,43.71,21706045
24-04-2018,44.43,44.91,43.33,43.74,21421528
23-04-2018,44.26,44.475,43.87,44.25,20716812
20-04-2018,44.5,44.75,43.62,44.09,23539219
19-04-2018,44.42,44.95,44.38,44.56,21472349
18-04-2018,44.61,44.92,44.295,44.63,17605321
17-04-2018,43.85,44.75,43.705,44.59,21474572
16-04-2018,43.12,43.64,43.03,43.3,15807853
13-04-2018,43.55,43.74,42.64,43,18272320
12-04-2018,42.78,43.64,42.73,43.34,22297010
11-04-2018,42.42,42.9,42.26,42.43,21692969
10-04-2018,42.1,42.71,41.75,42.51,22781594
09-04-2018,40.95,42.06,40.9,41.17,25725786
06-04-2018,41.4,41.68,40.45,40.73,32208693
05-04-2018,41.5,42.02,41.38,41.82,29331612
04-04-2018,40.39,41.55,40.19,41.2,30117558
03-04-2018,41.34,41.5,40.72,41.38,28003925
02-04-2018,42.52,42.63,40.53,41.01,36791764
29-03-2018,41.94,42.93,41.58,42.89,55021225
28-03-2018,42.51,42.84,41.62,41.66,36696770
27-03-2018,44.49,44.52,42.24,42.68,30088447
26-03-2018,43.25,44.16,42.83,44.06,28454954
23-03-2018,43.71,43.84,42.42,42.42,30674112
22-03-2018,43.76,44.02,43.02,43.07,29374734
21-03-2018,44.24,44.9,44.1331,44.31,20616375
20-03-2018,44.49,44.64,44.18,44.37,22385001
19-03-2018,44.59,44.82,43.9,44.27,24524286
16-03-2018,45.33,45.6,44.97,45.01,52355707
15-03-2018,45.3,45.735,45.12,45.33,23338222
14-03-2018,45.34,45.7587,45.09,45.28,20923845
13-03-2018,45.78,46.16,44.92,45.16,23081229
12-03-2018,45.53,45.87,45.4,45.55,17458907
09-03-2018,44.62,45.54,44.61,45.37,21633413
08-03-2018,44.25,44.41,43.935,44.34,19677672
07-03-2018,44.03,44.39,43.8,44.2,22034446
06-03-2018,44.65,44.785,44.135,44.29,21929955
05-03-2018,43.92,44.765,43.7,44.52,22101667
02-03-2018,43.29,44.22,43.1,44.06,28848064
01-03-2018,44.68,45,43.35,43.8,32154328
28-02-2018,45.27,45.89,44.78,44.78,26346609
27-02-2018,45.41,45.61,44.62,45.04,26887782
26-02-2018,44.3,45.45,44.13,45.36,27226705
23-02-2018,43.37,44.04,42.92,44,24855689
22-02-2018,43.49,43.56,42.75,42.94,25627449
21-02-2018,44.11,44.42,43.28,43.31,27128222
20-02-2018,44,44.69,43.81,44.06,26258211
16-02-2018,43.885,45.09,43.79,44.33,37915915
15-02-2018,45.065,45.13,43.26,44.08,71490591
14-02-2018,41.04,42.26,40.99,42.09,39880261
13-02-2018,40.5,41.31,40.22,41.23,29220084
12-02-2018,40.515,40.91,40.225,40.6,37320696
09-02-2018,39,39.92,38.23,39.53,47947702
08-02-2018,40.44,40.76,38.72,38.77,39300118
07-02-2018,40.31,41.206,40.03,40.34,31841942
06-02-2018,38.33,40.305,37.35,40.17,52940550
05-02-2018,40.87,41.405,38.72,38.78,39491216
02-02-2018,41.5,41.95,40.87,40.93,25920378
01-02-2018,41.09,42.11,40.67,41.7,26001606
31-01-2018,41.98,42.01,41.35,41.54,34571282
30-01-2018,42.685,42.86,41.97,42.25,25671649
29-01-2018,42.3,42.98,42.3,42.85,23053104
26-01-2018,42.15,42.56,41.95,42.56,22637421
25-01-2018,42.27,42.47,41.82,41.9,18610206
24-01-2018,42.2,42.685,42.01,42.17,25739984
23-01-2018,41.54,42.13,41.54,42.1,21069503
22-01-2018,41.2,41.66,41.02,41.66,21794682
19-01-2018,41.28,41.52,41.1,41.29,23554383
18-01-2018,41.24,41.48,41.03,41.3,17450956
17-01-2018,40.84,41.32,40.705,41.2,23612126
16-01-2018,40.9,41.16,40.32,40.54,32273879
12-01-2018,40.22,40.93,40.05,40.87,22962700
11-01-2018,40.14,40.21,39.75,40.1,20178596
10-01-2018,39.65,40.24,39.63,39.91,19110146
09-01-2018,39.79,39.96,39.54,39.69,21339760
08-01-2018,39.52,39.96,39.35,39.94,16511704
05-01-2018,39.55,39.88,39.365,39.53,24369510
04-01-2018,39.05,39.54,38.93,38.99,20606344
03-01-2018,38.72,39.285,38.53,39.17,29066090
02-01-2018,38.67,38.95,38.43,38.86,19972431
29-12-2017,38.41,38.62,38.3,38.3,12359455
28-12-2017,38.73,38.73,38.45,38.59,8662664
27-12-2017,38.54,38.65,38.45,38.56,10262927
26-12-2017,38.55,38.68,38.36,38.48,8148042
22-12-2017,38.52,38.74,38.47,38.55,11120656
21-12-2017,38.88,38.995,38.49,38.53,16188471
20-12-2017,38.49,38.8,38.21,38.74,18701741
19-12-2017,38.66,38.86,38.28,38.3,18478762
18-12-2017,38.48,38.89,38.3,38.48,21036306
15-12-2017,38.01,38.28,37.7,38.19,36491640
14-12-2017,38.2,38.27,37.855,37.9,16556403
13-12-2017,38.09,38.37,38,38.15,19934529
12-12-2017,37.79,38.1,37.56,37.91,16451320
11-12-2017,37.59,38.04,37.57,37.96,15619388
08-12-2017,37.59,37.69,37.42,37.61,13777371
07-12-2017,37.26,37.78,37.26,37.4,15189086
06-12-2017,37.37,37.72,37.25,37.41,16312845
05-12-2017,37.74,37.82,37.17,37.31,22743474
04-12-2017,37.81,37.99,37.54,37.72,29006129
01-12-2017,37.09,37.66,36.73,37.6,26920869
30-11-2017,37.62,37.8,37.3,37.3,30749464
29-11-2017,37.75,38.025,37.23,37.48,36788586
28-11-2017,37,37.8,36.98,37.73,30097816
27-11-2017,36.51,37.09,36.5,36.87,20667352
24-11-2017,36.41,36.57,36.32,36.49,6155294
22-11-2017,36.7,36.715,36.36,36.45,16650130
21-11-2017,36.75,36.97,36.58,36.65,23986203
20-11-2017,35.93,36.54,35.93,36.5,26376364
17-11-2017,35.9,36.32,35.81,35.9,27106406
16-11-2017,36.04,36.67,35.83,35.88,59861205
15-11-2017,33.97,34.31,33.75,34.11,27797071
14-11-2017,33.86,34.16,33.8,34.04,15540925
13-11-2017,33.86,34.21,33.83,33.95,15608341
10-11-2017,34.06,34.09,33.67,33.99,19003147
09-11-2017,34.29,34.32,33.871,34.05,16266161
08-11-2017,34.31,34.5,34.12,34.5,13061334
07-11-2017,34.32,34.48,34.2147,34.4,10980008
06-11-2017,34.37,34.56,34.26,34.41,12725467
03-11-2017,34.28,34.49,34.0269,34.47,13293171
02-11-2017,34.55,34.64,34.16,34.21,19647242
01-11-2017,34.29,34.75,34.28,34.62,21831973
31-10-2017,33.98,34.24,33.96,34.15,13544441
30-10-2017,34.32,34.38,33.8244,34.04,18241531
27-10-2017,34.15,34.62,34.09,34.43,20237956
26-10-2017,34.41,34.51,34.07,34.27,14541155
25-10-2017,34.73,34.73,34.163,34.3,17012218
24-10-2017,34.4,34.675,34.25,34.58,15273905
23-10-2017,34.45,34.68,34.27,34.35,22490134
20-10-2017,34.02,34.39,34.01,34.25,24055347
19-10-2017,33.51,33.89,33.45,33.75,12928532
18-10-2017,33.72,33.75,33.44,33.55,9739887
17-10-2017,33.59,33.67,33.46,33.6,8633089
16-10-2017,33.6,33.64,33.47,33.54,10469019
13-10-2017,33.4,33.57,33.323,33.47,13451108
12-10-2017,33.26,33.46,33.17,33.26,17811160
11-10-2017,33.38,33.63,33.25,33.59,12353462
10-10-2017,33.88,33.91,33.47,33.55,17978700
09-10-2017,33.77,33.89,33.61,33.76,8684822
06-10-2017,33.65,33.78,33.5247,33.75,13438950
05-10-2017,33.58,33.67,33.41,33.59,14301206
04-10-2017,33.53,33.56,33.29,33.44,14606016
03-10-2017,33.72,33.9,33.61,33.85,13159079
02-10-2017,33.61,33.77,33.52,33.75,16443224
29-09-2017,33.31,33.67,33.24,33.63,14419404
28-09-2017,33.22,33.46,33.22,33.35,14689819
27-09-2017,33.78,33.92,33.3037,33.48,21687593
26-09-2017,33.76,34.1,33.67,33.76,25835270
25-09-2017,33.31,33.84,33.2,33.72,30475969
22-09-2017,32.66,33.53,32.64,33.37,27904695
21-09-2017,32.72,32.9,32.5,32.7,19762651
20-09-2017,32.55,32.75,32.39,32.6,18701702
19-09-2017,32.46,32.65,32.395,32.49,12424056
18-09-2017,32.43,32.66,32.26,32.52,17035443
15-09-2017,32.2,32.5,32.12,32.44,27708447
14-09-2017,31.91,32.22,31.91,32.19,17711003
13-09-2017,32.34,32.39,31.96,32.18,21872095
12-09-2017,32.3,32.47,32.19,32.41,18510454
11-09-2017,31.71,32.3,31.67,32.19,21365590
08-09-2017,31.68,31.78,31.46,31.48,15115756
07-09-2017,31.96,31.97,31.74,31.76,14611809
06-09-2017,31.75,31.91,31.63,31.87,16380030
05-09-2017,32.15,32.245,31.455,31.62,24327663
01-09-2017,32.22,32.345,32.03,32.3,14661162
31-08-2017,32.1,32.34,31.99,32.21,27138172
30-08-2017,31.47,32.2,31.42,31.99,23028578
29-08-2017,31.26,31.6299,31.19,31.48,16192694
28-08-2017,31.6,31.66,31.41,31.54,12747867
25-08-2017,31.39,31.8,31.36,31.44,19351094
24-08-2017,30.95,31.4,30.9,31.24,21867401
23-08-2017,31.21,31.4,30.91,30.92,22269978
22-08-2017,30.85,31.33,30.75,31.27,24438367
21-08-2017,30.37,30.795,30.36,30.68,24025228
18-08-2017,31,31.06,30.36,30.37,34622147
17-08-2017,31.49,31.77,30.85,31.04,51557052
16-08-2017,32.1,32.4652,32.06,32.34,27088237
15-08-2017,31.85,32.21,31.84,32.09,24406258
14-08-2017,31.69,31.89,31.56,31.84,21605411
11-08-2017,31.23,31.545,31.04,31.47,20521935
10-08-2017,31.56,31.56,31,31,22748854
09-08-2017,31.55,31.675,31.36,31.62,15931711
08-08-2017,31.75,32,31.6,31.67,13632423
07-08-2017,31.79,31.8799,31.69,31.84,11730203
04-08-2017,31.67,31.91,31.58,31.8,16322686
03-08-2017,31.59,31.72,31.43,31.56,13884046
02-08-2017,31.57,31.57,31.25,31.52,15797711
01-08-2017,31.59,31.66,31.43,31.65,12727298
31-07-2017,31.54,31.59,31.37,31.45,18534978
28-07-2017,31.45,31.6,31.26,31.52,15509841
27-07-2017,31.73,31.7502,31.21,31.57,21224338
26-07-2017,32.12,32.225,31.51,31.66,21472799
25-07-2017,31.9,32.25,31.88,32.12,14848920
