timestamp,open,high,low,close,volume
03-10-2018,230,231.84,228.53,231.32,1644389
02-10-2018,227.87,228.57,224.57,227.62,1276090
01-10-2018,228.85,229.8,226.62,227.72,1110448
28-09-2018,223.89,227.93,223.5,227.4,1593368
27-09-2018,222.68,224.31,222.49,222.82,891089
26-09-2018,222.65,224.6,221.06,222.18,1452494
25-09-2018,219,221.98,219,221.96,2041485
24-09-2018,219.48,221.97,217.69,218.9,1505534
21-09-2018,222.51,223.52,219.76,220.44,5539730
20-09-2018,222.02,222.43,220.47,221.45,1366012
19-09-2018,227.76,228.405,219.0612,220.88,2072178
18-09-2018,225.79,229.62,225.21,228.18,1331106
17-09-2018,227.51,228.215,225.21,225.47,1515327
14-09-2018,228.73,229.86,226.825,227.54,1434358
13-09-2018,226.34,228.375,225.93,227.78,1543249
12-09-2018,226.21,226.93,223.09,225.68,1000981
11-09-2018,224.11,226.79,223.71,226.02,1595251
10-09-2018,220.62,225.12,220.0716,224.72,1567360
07-09-2018,218.28,221.58,217.18,220.32,1604593
06-09-2018,218.41,220.8,216.605,219.86,1456653
05-09-2018,220.6,221.09,214.71,218.69,1837071
04-09-2018,219.94,221.115,218.06,220.74,1200609
31-08-2018,217.97,219.78,217.6,219.47,1341141
30-08-2018,217.17,219.21,216.35,218.63,1246759
29-08-2018,215.6,218.75,215.44,217.9,1517117
28-08-2018,212.32,216.03,212.21,215.93,1618867
27-08-2018,216.64,217.46,210.22,211.97,2418567
24-08-2018,212.85,217.36,211.46,216.63,2736999
23-08-2018,210.31,213.46,210.01,212.45,2073544
22-08-2018,209.01,210.39,208.59,209.69,1797395
21-08-2018,208.41,210.39,208.02,209.01,2091513
20-08-2018,208.82,208.82,207.07,207.4,2210597
17-08-2018,209.05,210.4975,206.21,207.89,2001168
16-08-2018,210.69,211.17,208.87,209.69,958266
15-08-2018,209.51,211.59,207.1,209.47,952129
14-08-2018,210,211.495,208.61,210.69,1065545
13-08-2018,211.39,212.74,209.3025,209.57,995486
10-08-2018,209.59,212.71,209.11,211.01,918113
09-08-2018,212.61,212.84,210.62,211.19,812876
08-08-2018,209.7,210.58,208.11,210.04,808870
07-08-2018,207.74,210.16,207.71,209.48,1221437
06-08-2018,204.54,207.99,204.35,207.48,936012
03-08-2018,206.79,206.99,203.92,205.15,936072
02-08-2018,202.7,205.81,202.39,205.73,1427878
01-08-2018,203.91,205.62,203.31,204.26,1264685
31-07-2018,204.2,206.42,201.85,204.24,2225461
30-07-2018,208.06,212.16,202.4,202.68,1780004
27-07-2018,217.5,218.19,209.32,212.31,1284134
26-07-2018,217.61,219.34,216.25,216.64,1062867
25-07-2018,216,217.5,215.43,217.25,1338651
24-07-2018,218.15,219.46,215.34,215.8,966477
23-07-2018,215.29,217.75,215.02,217.39,770167
20-07-2018,216.04,216.59,215.11,215.28,776345
19-07-2018,217.51,218.17,215.14,215.99,1136023
18-07-2018,216,218.61,215.08,218.31,878544
17-07-2018,213.54,216.99,210.93,216.48,726050
16-07-2018,213.55,214.92,213.43,214.46,623362
13-07-2018,213.92,214.36,212.24,213.71,870300
12-07-2018,210.7,213.86,209.95,213.72,1656864
11-07-2018,207.6,209.53,207.55,209.19,966757
10-07-2018,208.13,209.3,207.56,208.46,998586
09-07-2018,209.22,209.79,206.51,207.73,1109766
06-07-2018,205.68,208.39,204.47,208.15,1384174
05-07-2018,206.55,207.9389,203.8,205.06,1341834
03-07-2018,206.95,206.95,204.36,204.76,776677
02-07-2018,203.01,206.19,201.71,205.44,1974401
29-06-2018,204.36,206.52,203.31,204.305,1268125
28-06-2018,198.45,204.75,198.45,204.02,1467835
27-06-2018,202.43,203.97,198.03,198.22,1276371
26-06-2018,201.94,203.41,201.5,202.11,1638019
25-06-2018,204.87,205,200.01,201.74,2058228
22-06-2018,209.77,210.4725,205.83,205.98,2316108
21-06-2018,214.25,216.63,209.43,209.8,1693527
20-06-2018,210.85,213.76,210.16,213.52,1235785
19-06-2018,209.82,210.85,207.12,210.61,1824089
18-06-2018,207.68,209.83,205.8,209.16,1205381
15-06-2018,208.64,210.19,206.71,208.96,2175411
14-06-2018,208.83,210.13,207.75,209.08,797594
13-06-2018,207.27,209.43,207.05,207.79,1090789
12-06-2018,206.79,207.74,205.9789,207.49,1093299
11-06-2018,206.73,206.98,205.83,206.36,766040
08-06-2018,206.1,207.19,204.5,206.26,1108142
07-06-2018,209.37,209.37,203.345,206.26,1231036
06-06-2018,208.29,209.54,206.91,209.5,1722206
05-06-2018,207.25,208.495,206.22,208.23,1344736
04-06-2018,204.23,207.14,203.95,207,1548281
01-06-2018,202.28,204.25,201,204.08,1296361
31-05-2018,200.9,203.44,200.16,201.6,2822885
30-05-2018,198.05,201.59,197.83,201.1,1532167
29-05-2018,195.67,198.35,194.82,196.7,1850459
25-05-2018,197.18,199.48,196.53,197.09,1399558
24-05-2018,195.5,198.2,194.66,197.79,2051013
23-05-2018,187.26,196.97,187.211,196.23,2200329
22-05-2018,192.58,192.66,189.73,190.54,1934071
21-05-2018,192.21,192.75,190.89,191.69,1297177
18-05-2018,189.28,191.04,188.25,190.54,1305401
17-05-2018,189.81,191.2,188.466,189.78,991138
16-05-2018,190.38,191.43,188.8,190.41,1572652
15-05-2018,190.47,190.88,188.61,189.77,2066205
14-05-2018,194.63,195.99,191.96,192.59,1090008
11-05-2018,194.19,196.28,193.46,194.2,1208125
10-05-2018,194.54,194.74,192.75,194.3,924411
09-05-2018,190.65,193.68,189.85,192.67,932834
08-05-2018,188.28,190.4,188.15,190.17,1108684
07-05-2018,190.53,191.3,188.7,189.56,1103030
04-05-2018,185.98,190.485,185.34,189.45,1191097
03-05-2018,184.9,187.605,183.02,186.38,1245176
02-05-2018,187.18,188.05,185.25,185.93,1190645
01-05-2018,184.82,187.51,184.37,187.24,1001209
30-04-2018,187.2,188.56,184.72,184.79,1444332
27-04-2018,185.45,186.84,184.18,186.59,1110317
26-04-2018,180.78,186.39,180.75,185.18,2036410
25-04-2018,178.17,179.775,174.355,176.37,1504960
24-04-2018,181.19,182.93,176.77,178.57,1220274
23-04-2018,179.1,181.85,178.65,180.3,943726
20-04-2018,178.33,179.95,177.07,178.13,1264656
19-04-2018,180.76,181.97,178.94,179.41,1150450
