timestamp,open,high,low,close,volume
03-10-2018,109.03,109.2,107.41,108.18,4897570
02-10-2018,107.25,109.85,107.25,108.46,4718447
01-10-2018,107.67,108.62,107.43,107.74,3666125
28-09-2018,107.22,107.46,106.06,107.29,4556399
27-09-2018,106.44,107.68,106.12,107.29,4704201
26-09-2018,107.48,108.22,105.98,106.22,6478602
25-09-2018,109.25,109.56,106.81,107.55,6523804
24-09-2018,109.01,110.32,108.36,109.8,3531215
21-09-2018,110.5,110.9,109.54,110.05,10924000
20-09-2018,107.88,108.9819,107.8,108.49,5562474
19-09-2018,105.12,107.51,105.1,107.37,6588931
18-09-2018,104.03,105.89,103.96,104.91,5654930
17-09-2018,105.29,105.67,103.35,103.7,5598298
14-09-2018,105.96,107.16,105.13,105.36,6484969
13-09-2018,105.15,106.92,104.6,105.72,6311079
12-09-2018,105,105,102.25,104.54,10182325
11-09-2018,108.06,108.15,105.91,106.05,8165577
10-09-2018,109.17,109.48,107.49,108.32,5138926
07-09-2018,110.45,111,108.25,108.46,5349260
06-09-2018,110.99,111.74,110.34,110.89,4813091
05-09-2018,112.38,112.95,110.845,111.13,5369277
04-09-2018,111.02,112.66,110.65,112.54,6160284
31-08-2018,112.63,113.43,111.86,112.4,6550289
30-08-2018,114.92,115.36,112.49,112.58,5688612
29-08-2018,115.41,115.7795,114.86,115.47,5113913
28-08-2018,115.74,116.07,114.66,115.02,3214435
27-08-2018,114.65,115.66,114.15,115.25,3686155
24-08-2018,112.96,113.79,112.34,113.64,3191880
23-08-2018,112.18,113.66,112.1604,112.4,3038746
22-08-2018,110.64,112.69,109.27,112.19,3999219
21-08-2018,109.5,111.75,109.34,111.51,4714728
20-08-2018,109.75,109.8,108.54,109.03,3238201
17-08-2018,108.87,109.98,107.01,109.64,3744803
16-08-2018,110.12,110.54,109.08,109.4,2916321
15-08-2018,109.24,110.08,108.35,109.6,3532643
14-08-2018,110.67,110.99,109.8675,110.34,3109606
13-08-2018,110.56,111.435,109.84,109.94,3989754
10-08-2018,111.74,112.32,109.3499,110.09,7652937
09-08-2018,116,116.09,114.03,114.34,3505245
08-08-2018,115.66,116.61,115.16,116.16,2890833
07-08-2018,113.77,115.81,113.34,115.76,5234502
06-08-2018,112.28,113.52,112.12,113.11,2970787
03-08-2018,112.33,112.98,111.93,112.84,3337888
02-08-2018,110.15,113,110.0038,112.21,4516692
01-08-2018,111.16,111.975,110.33,111,5302979
31-07-2018,111.99,112.59,110.92,111.32,5206264
30-07-2018,111.99,112.3732,110.7,110.91,4422499
27-07-2018,113.3,114.29,112.02,112.6,4343912
26-07-2018,113.95,114.46,112.94,113.3,5520420
25-07-2018,113.4,114.39,110.03,113.22,8222143
24-07-2018,115.06,116.46,113.35,113.8,4286663
23-07-2018,114.35,114.83,113.04,114.67,3052841
20-07-2018,114.97,115.73,114.24,115,4359113
19-07-2018,115.53,115.66,114.23,114.59,5013928
18-07-2018,115.5,116.95,114.14,115.68,5491924
17-07-2018,113.67,115.86,113.195,115.8,3915077
16-07-2018,114.91,115.49,114.42,114.56,3013880
13-07-2018,115.53,115.98,114.83,115.14,2715830
12-07-2018,113.24,116.6895,113.06,115.84,5818733
11-07-2018,113.29,113.79,111.52,111.76,5000193
10-07-2018,112.63,114.05,112.38,113.73,4512841
09-07-2018,113.4,113.5,110.835,112.09,3657979
06-07-2018,111.56,112.93,110.83,112.71,3419735
05-07-2018,109.84,111.65,109.41,111.51,4097689
03-07-2018,110.61,111.29,108.74,108.91,2201492
02-07-2018,108.94,110.33,108.38,110.24,3392524
29-06-2018,109.79,111.55,109.62,110.25,5343292
28-06-2018,108.23,109.595,107.45,109.1,4198780
27-06-2018,112.18,112.5,108.77,108.78,4364895
26-06-2018,110.63,112.01,110.13,111.51,4001893
25-06-2018,110.96,111,108.61,110.19,5331154
22-06-2018,112.75,113.22,111.41,112.38,3822597
21-06-2018,114.38,114.5,111.61,112.11,3480145
20-06-2018,114.41,115.11,113.57,114.24,3454806
19-06-2018,112.75,113.905,112.2035,113.66,3486518
18-06-2018,114.6,114.93,113.03,114.39,3170574
15-06-2018,114.87,116.02,113.87,115.89,7027646
14-06-2018,114.86,115.54,113.97,114.72,2941184
13-06-2018,115.5,115.61,113.79,114,4948571
12-06-2018,115.49,115.77,114.58,115.41,3269123
11-06-2018,115,115.83,114.48,115.28,3741296
08-06-2018,116.29,116.67,115.35,115.74,4948563
07-06-2018,118.35,118.48,116.14,117.24,6985116
06-06-2018,117.57,118.12,116.91,118.11,4015442
05-06-2018,116.69,117.93,115.83,117.66,5366553
04-06-2018,114.74,116.38,114.31,115.74,3905744
01-06-2018,112.55,114.8,112.32,114.8,4728383
31-05-2018,112,112.88,111.5,111.91,6582077
