,Target
0,0.7735
1,0.7200
2,0.7615
3,0.8267
4,0.8546
5,0.8584
6,0.8447
7,0.8337
8,0.8527
9,0.8466
10,0.8346
11,0.8267
12,0.8862
13,0.8596
14,0.8406
15,0.8527
16,0.8685
17,0.8704
18,0.8704
19,0.8644
20,0.8565
21,0.8308
22,0.8071
23,0.7913
24,0.8109
25,0.8368
26,0.8527
27,0.8685
28,0.9058
29,0.8843
30,0.9179
31,0.9179
32,0.8704
33,0.8764
34,0.8843
35,0.8783
36,0.8527
37,0.8546
38,0.8663
39,0.8862
40,0.9198
41,0.9397
42,0.9593
43,0.9555
44,0.9634
45,0.9793
46,0.9533
47,0.9634
48,0.9514
49,0.9356
50,0.9020
51,0.9296
52,0.9356
53,0.9137
54,0.8821
55,0.8447
56,0.8466
57,0.8685
58,0.8425
59,0.8308
60,0.8504
61,0.8327
62,0.8485
63,0.8504
64,0.8625
65,0.8941
66,0.8881
67,0.8802
68,0.8900
69,0.8704
70,0.8862
71,0.8900
72,0.8644
73,0.8565
74,0.8663
75,0.8802
76,0.8941
77,0.9039
78,0.8922
79,0.9080
80,0.9080
81,0.9476
82,0.9179
83,0.9612
84,0.9653
85,1.0305
86,1.0030
87,1.0147
88,1.0742
89,1.0584
90,1.0900
91,1.1869
92,1.1673
93,1.1473
94,1.1277
95,1.1078
96,1.1059
97,1.0979
98,1.0900
99,1.0644
100,1.1119
101,1.1552
102,1.0961
103,1.1119
104,1.0821
105,1.1394
106,1.1673
107,1.1552
108,1.2008
109,1.2344
110,1.2679
111,1.2483
112,1.2818
113,1.3274
114,1.3470
115,1.2977
116,1.2860
117,1.3610
118,1.3037
119,1.2916
120,1.2780
121,1.1869
122,1.0821
123,0.9872
124,1.0802
125,1.1255
126,1.0961
127,1.1119
128,1.2106
129,1.1831
130,1.2068
131,1.1910
132,1.1771
133,1.2087
134,1.1809
135,1.1394
136,1.1631
137,1.1692
138,1.1711
139,1.2125
140,1.2185
141,1.2265
142,1.2363
143,1.2502
144,1.2068
145,1.1296
146,1.1097
147,1.0188
148,1.0305
149,1.0109
150,0.9751
151,1.1119
152,1.1850
153,1.2265
154,1.1831
155,1.1594
156,1.1613
157,1.1869
158,1.1413
159,1.1752
160,1.1631
161,1.1236
162,1.1850
163,1.1157
164,1.1650
165,1.1533
166,1.1752
167,1.1910
168,1.1967
169,1.2246
170,1.2087
171,1.2046
172,1.1594
173,1.1119
174,1.0622
175,1.0761
176,1.1296
177,1.1394
178,1.1017
179,1.1217
180,1.1315
181,1.1176
182,1.1473
183,1.1375
184,1.1119
185,1.1097
186,1.0109
187,1.0802
188,1.1394
189,1.0663
190,1.0365
191,1.0682
192,1.0147
193,1.0128
194,1.0128
195,1.0682
196,1.0286
197,1.0622
198,1.0384
199,1.0584
200,1.1138
201,1.1097
202,1.2027
203,1.2600
204,1.2423
205,1.2939
206,1.2916
207,1.2679
208,1.2958
209,1.3056
210,1.3708
211,1.3214
212,1.4243
213,1.4243
214,1.4521
215,1.4600
216,1.4717
217,1.3097
218,1.3075
219,1.2939
220,1.2837
221,1.2283
222,1.2265
223,1.2464
224,1.2818
225,1.2701
226,1.2939
227,1.3037
228,1.2958
229,1.2404
230,1.2720
231,1.1989
232,1.1492
233,1.1948
234,1.1771
235,1.2125
236,1.2543
237,1.1929
238,1.2125
239,1.1711
240,1.1394
241,1.1771
242,1.2166
243,1.2166
244,1.1850
245,1.1692
246,1.1017
247,1.0682
248,1.0961
249,1.0821
250,1.0584
251,1.0505
252,1.0881
253,1.0802
254,1.0305
255,1.0188
256,1.0505
257,1.0780
258,1.1236
259,1.0780
260,1.1236
261,1.0603
262,1.1097
263,1.0445
264,1.0663
265,1.0701
266,1.0524
267,1.1198
268,1.1356
269,1.1375
270,1.1413
271,1.1730
272,1.2027
273,1.1752
274,1.1673
275,1.1631
276,1.1473
